SMA  INTENSITY  INTENSITY_ERROR  ELLIP   ELLIP_ERROR  PA  PA_ERROR
      84.0000      122.224      1.00597     0.638869   0.00359438     -68.3633     0.249535
      85.0000      121.041     0.994505     0.641577   0.00334616     -68.4381     0.231477
      86.0000      118.423     0.970172     0.642425   0.00333647     -68.6516     0.229630
      87.0000      117.679     0.979799     0.645514   0.00329702     -68.8333     0.225777
      88.0000      117.671      1.01368     0.650014   0.00332296     -68.8333     0.226176
      89.0000      116.804      1.00838     0.653245   0.00302804     -68.9164     0.206169
      90.0000      117.082      1.02946     0.657619   0.00310214     -68.9918     0.210094
      91.0000      115.539      1.00780     0.659810   0.00294332     -69.1732     0.198359
      92.0000      113.009     0.983701     0.660665   0.00279212     -69.3198     0.187354
      93.0000      111.918     0.996250     0.662864   0.00274700     -69.4423     0.184757
      94.0000      110.639     0.987628     0.665417   0.00263985     -69.5492     0.177104
      95.0000      109.401      1.03176     0.666871   0.00277159     -69.6859     0.186564
      96.0000      107.987      1.01709     0.668623   0.00244831     -69.8110     0.165852
      97.0000      105.410     0.990530     0.668482   0.00247793     -69.9435     0.168544
      98.0000      102.610     0.952678     0.668432   0.00235305     -70.0854     0.160372
      99.0000      100.085     0.906764     0.668754   0.00227205     -70.2968     0.155165
      100.000      98.3248     0.886256     0.670031   0.00220136     -70.3338     0.151028
      101.000      95.1251     0.845014     0.669184   0.00242679     -70.4015     0.166882
      102.000      92.8748     0.791659     0.669388   0.00221197     -70.4298     0.152135
      103.000      91.0183     0.784557     0.670052   0.00218197     -70.5885     0.150204
      104.000      88.3380     0.751227     0.669317   0.00208866     -70.7216     0.144247
      105.000      83.6944     0.732401     0.665700   0.00216607     -70.6963     0.150186
      106.000      80.6476     0.679103     0.664258   0.00232203     -70.8725     0.161200
      107.000      78.1633     0.638545     0.662990   0.00220599     -71.0763     0.153381
      108.000      77.1245     0.604366     0.664342   0.00208654     -71.2237     0.145420
      109.000      75.9169     0.598289     0.665519   0.00210396     -71.3613     0.146585
      110.000      73.4221     0.571611     0.664325   0.00206819     -71.5279     0.144317
      111.000      71.0401     0.539648     0.663494   0.00216591     -71.6578     0.151125
      112.000      69.0275     0.529187     0.663317   0.00226248     -71.6777     0.158439
      113.000      66.8570     0.509175     0.662850   0.00233133     -71.8201     0.162989
      114.000      64.6142     0.456497     0.662073   0.00218326     -71.9529     0.152976
      115.000      62.7741     0.438666     0.661513   0.00228864     -72.0595     0.160782
      116.000      60.8808     0.425728     0.660536   0.00240527     -72.1154     0.169252
      117.000      59.5805     0.403528     0.660914   0.00266827     -72.2724     0.187774
      118.000      58.5246     0.401860     0.661897   0.00252953     -72.2952     0.178266
      119.000      57.3691     0.384775     0.662715   0.00263831     -72.3629     0.185978
      120.000      55.8250     0.348332     0.662084   0.00245871     -72.4559     0.173686
      121.000      53.3899     0.335123     0.658314   0.00242632     -72.3602     0.171369
      122.000      51.8767     0.342829     0.657663   0.00277194     -72.3389     0.195814
      123.000      51.3477     0.346192     0.659830   0.00262144     -72.3551     0.184753
      124.000      50.4726     0.330764     0.660251   0.00294109     -72.4697     0.207378
      125.000      49.5532     0.318609     0.660650   0.00271757     -72.5395     0.191544
      126.000      46.6219     0.332696     0.650438   0.00313157     -72.7094     0.221103
      127.000      45.8878     0.339891     0.651275   0.00344268     -72.6810     0.242701
      128.000      45.9307     0.340702     0.653824   0.00365533     -72.7665     0.257620
      129.000      45.4579     0.328003     0.655549   0.00328087     -72.6945     0.231130
      130.000      44.7730     0.320977     0.656173   0.00333196     -72.7032     0.234584
      131.000      44.1874     0.314369     0.657440   0.00346432     -72.8465     0.244340
      132.000      43.5145     0.299339     0.658902   0.00303480     -73.1671     0.213329
      133.000      43.0812     0.288606     0.660378   0.00307230     -73.2027     0.215575
      134.000      42.6033     0.294115     0.661281   0.00297133     -73.2027     0.208755
      135.000      42.0154     0.286811     0.663193   0.00280804     -73.0936     0.197076
      136.000      41.1707     0.280982     0.663035   0.00301831     -73.3162     0.211984
      137.000      40.8486     0.278699     0.664916   0.00311034     -73.4019     0.217846
      138.000      39.5284     0.269555     0.662203   0.00317183     -73.5586     0.221758
      139.000      38.1889     0.263832     0.656221   0.00321833     -73.6645     0.222957
      140.000      36.6284     0.267655     0.649252   0.00352641     -73.8780     0.243884
      141.000      36.0896     0.263315     0.649722   0.00361158     -73.9218     0.251152
      142.000      35.3937     0.252594     0.649377   0.00330958     -73.6054     0.230410
      143.000      35.4872     0.250778     0.653852   0.00333137     -73.6054     0.232071
      144.000      35.2088     0.239762     0.655240   0.00319530     -73.6054     0.222321
      145.000      34.4279     0.237399     0.654078   0.00324655     -73.7122     0.225744
      146.000      33.8876     0.225280     0.653895   0.00340863     -73.9591     0.237477
      147.000      33.5209     0.220554     0.653616   0.00324207     -74.2968     0.225887
      148.000      32.7544     0.226489     0.650583   0.00333359     -74.5905     0.235672
      149.000      31.9848     0.237213     0.650216   0.00352680     -74.6654     0.251457
      150.000      31.9162     0.230029     0.652118   0.00324561     -74.7019     0.231101
      151.000      31.6196     0.224508     0.653530   0.00393707     -74.7312     0.278522
      152.000      31.1183     0.219368     0.653277   0.00332468     -74.7823     0.233140
      153.000      29.7782     0.221982     0.646993   0.00392036     -74.9945     0.274783
      154.000      29.4096     0.223905     0.648244   0.00403678     -74.9986     0.281622
      155.000      28.7018     0.222185     0.643974   0.00346333     -75.5587     0.241665
      156.000      28.7091     0.221842     0.646785   0.00338053     -75.9084     0.237410
      157.000      28.7313     0.231730     0.651950   0.00371878     -75.4814     0.259536
      158.000      28.5686     0.225313     0.652613   0.00364895     -75.6737     0.255164
      159.000      27.7547     0.211326     0.650390   0.00353963     -75.9620     0.247509
      160.000      27.7837     0.213371     0.652322   0.00370157     -75.9105     0.259411
      161.000      27.5500     0.217479     0.654082   0.00319189     -75.9662     0.224130
      162.000      25.6410     0.219390     0.642441   0.00327374     -75.8124     0.231695
      163.000      25.1790     0.217556     0.641948   0.00380064     -75.9298     0.268704
      164.000      25.2829     0.212916     0.646484   0.00347230     -76.1243     0.245108
      165.000      25.1505     0.214192     0.646484   0.00341879     -76.1243     0.241254
      166.000      25.1122     0.218729     0.648618   0.00344836     -76.1243     0.243037
      167.000      25.2631     0.220290     0.652620   0.00313943     -76.1243     0.220542
      168.000      24.4348     0.201699     0.650259   0.00342426     -76.1243     0.240501
      169.000      24.5446     0.201461     0.653046   0.00326659     -76.0186     0.229132
      170.000      24.1844     0.199225     0.653191   0.00339913     -76.1186     0.238112
      171.000      24.3065     0.208644     0.656673   0.00300681     -76.1007     0.210204
      172.000      23.4747     0.224847     0.653286   0.00400554     -76.1481     0.279790
      173.000      22.3429     0.210241     0.648855   0.00347001     -75.8071     0.242645
      174.000      21.9322     0.220458     0.648855   0.00370726     -75.8071     0.259527
      175.000      21.5117     0.213934     0.648709   0.00357699     -76.0647     0.250782
      176.000      21.7692     0.220978     0.652554   0.00349649     -75.8656     0.244458
      177.000      21.4308     0.216886     0.652508   0.00327948     -76.1446     0.229631
      178.000      21.0487     0.216368     0.652455   0.00311536     -76.3499     0.217105
      179.000      21.0109     0.216988     0.654143   0.00346501     -76.3498     0.241590
      180.000      21.6606     0.212016     0.660244   0.00320513     -76.3364     0.222765
      181.000      21.2564     0.207772     0.659354   0.00290607     -76.3364     0.201259
      182.000      21.3773     0.211104     0.661535   0.00296095     -76.4170     0.204340
      183.000      21.4075     0.218096     0.663892   0.00291188     -76.4333     0.200382
      184.000      21.0410     0.218741     0.664814   0.00284706     -76.3536     0.195804
      185.000      21.2491     0.220362     0.667886   0.00291521     -76.5379     0.200399
      186.000      19.6555     0.226268     0.664545   0.00356378     -76.4829     0.245332
      187.000      19.8807     0.218966     0.667374   0.00321190     -76.4204     0.220907
      188.000      19.9127     0.219014     0.669329   0.00349169     -76.4204     0.240103
      189.000      19.4236     0.220199     0.669329   0.00326768     -76.4204     0.224693
      190.000      19.3375     0.221270     0.671448   0.00333033     -76.4525     0.229004
      191.000      19.6491     0.224138     0.674489   0.00304346     -76.4525     0.208753
      192.000      19.3762     0.214476     0.675304   0.00266552     -76.4043     0.183007
      193.000      18.7938     0.209566     0.673632   0.00294230     -76.6376     0.201974
      194.000      18.4647     0.215453     0.673855   0.00299016     -76.7846     0.205021
      195.000      18.1790     0.222359     0.674478   0.00291892     -76.8625     0.200002
      196.000      18.5982     0.216782     0.678172   0.00297467     -76.7128     0.203455
      197.000      18.4217     0.221117     0.678862   0.00285523     -76.6531     0.195077
      198.000      17.0630     0.212148     0.672934   0.00338148     -76.2776     0.231762
      199.000      16.8888     0.213507     0.673750   0.00350192     -76.2695     0.239424
      200.000      15.9080     0.205377     0.668234   0.00317399     -76.2071     0.216724
      201.000      15.8318     0.204796     0.669020   0.00336042     -76.1824     0.229326
      202.000      16.2152     0.206286     0.672488   0.00296353     -76.2127     0.201864
      203.000      15.6305     0.206659     0.672191   0.00331964     -76.1946     0.226086
      204.000      14.6903     0.215239     0.670234   0.00366732     -76.1301     0.250213
      205.000      14.5063     0.219023     0.671240   0.00352845     -76.1710     0.240572
      206.000      14.8694     0.215333     0.674549   0.00329261     -76.2977     0.223852
      207.000      14.9223     0.208451     0.676448   0.00314132     -76.3669     0.213604
      208.000      14.3602     0.211195     0.676110   0.00361335     -76.5747     0.245446
      209.000      13.7650     0.212898     0.674962   0.00402384     -76.4516     0.273523
      210.000      13.1618     0.211000     0.674320   0.00419780     -76.6720     0.284329
      211.000      13.3292     0.209573     0.676928   0.00378932     -76.6410     0.256904
      212.000      12.6844     0.195653     0.675206   0.00343022     -76.6953     0.232851
      213.000      12.2219     0.185183     0.669162   0.00332577     -76.2634     0.227219
      214.000      12.1542     0.189756     0.670638   0.00372772     -76.2267     0.254088
      215.000      12.0858     0.194220     0.671926   0.00357021     -76.2814     0.243632
      216.000      11.9468     0.200542     0.673034   0.00359030     -76.2357     0.244748
      217.000      11.7787     0.199534     0.674196   0.00354761     -76.1435     0.242072
      218.000      11.1418     0.199325     0.672738   0.00363133     -76.1075     0.247950
      219.000      11.1007     0.197405     0.675121   0.00411130     -75.9966     0.280909
      220.000      11.0686     0.185729     0.677049   0.00355779     -75.8233     0.243051
      221.000      11.2566     0.191335     0.679252   0.00328905     -75.8233     0.224752
      222.000      11.1002     0.197324     0.679668   0.00297825     -75.8233     0.203404
      223.000      10.5216     0.201478     0.678204   0.00390503     -75.8519     0.267335
      224.000      10.3813     0.199608     0.678637   0.00366934     -75.9697     0.251424
      225.000      10.0196     0.206114     0.678488   0.00402140     -76.0019     0.275276
      226.000      9.47436     0.188448     0.675367   0.00414685     -75.3661     0.285121
      227.000      8.75205     0.193878     0.670361   0.00486550     -74.9799     0.336262
      228.000      8.59607     0.184123     0.670361   0.00350666     -74.4537     0.242958
      229.000      8.08894     0.186884     0.670209   0.00488342     -74.5101     0.339010
      230.000      7.96537     0.188739     0.668316   0.00526151     -74.9589     0.364213
      231.000      8.31606     0.194636     0.675179   0.00428093     -74.5692     0.296319
      232.000      8.11641     0.176929     0.675179   0.00388248     -74.5692     0.268955
      233.000      8.13746     0.185126     0.675179   0.00526772     -75.1965     0.359136
      234.000      7.59768     0.178305     0.670849   0.00548036     -75.1885     0.372915
      235.000      7.61668     0.184854     0.672960   0.00524077     -74.9855     0.356741
      236.000      7.13408     0.191043     0.672325   0.00748208     -75.0464     0.509119
      237.000      7.06311     0.187429     0.672923   0.00725907     -75.0464     0.493997
      238.000      7.36759     0.183084     0.675841   0.00565985     -75.4321     0.384381
      239.000      7.48960     0.190371     0.679720   0.00512538     -75.3275     0.347552
      240.000      6.67076     0.187969     0.674857   0.00574276     -75.5242     0.391071
      241.000      6.27867     0.171589     0.670346   0.00579206     -74.9674     0.395834
      242.000      5.83353     0.164918     0.667116   0.00937224     -74.9674     0.640667
      243.000      6.04497     0.172926     0.673994   0.00716675     -74.9066     0.487884
      244.000      5.71931     0.168930     0.670804   0.00938052     -74.9066     0.640416
      245.000      5.77653     0.166942     0.670804   0.00664948     -75.0423     0.452745
      246.000      5.13276     0.168295     0.658399   0.00995387     -75.1473     0.679060
      247.000      4.87360     0.161820     0.652374   0.00666711     -75.4414     0.452557
      248.000      4.46089     0.158753     0.652374   0.00957865     -75.3339     0.651124
      249.000      5.13969     0.167417     0.663143   0.00746204     -75.5164     0.506500
      250.000      4.76234     0.159823     0.660434   0.00749151     -75.8162     0.507145
      251.000      4.12141     0.155054     0.649696    0.0119965     -75.5398     0.818578
      252.000      4.60216     0.156880     0.659184   0.00850694     -75.1092     0.580076
      253.000      4.35683     0.156283     0.659184   0.00658579     -75.0621     0.448197
      254.000      4.51419     0.157054     0.665439   0.00925743     -74.4202     0.632020
      255.000      4.15353     0.156807     0.660865   0.00767377     -75.5797     0.518710
      256.000      4.20260     0.160059     0.660198   0.00876058     -75.3279     0.594053
      257.000      3.86571     0.154786     0.646022    0.0168736     -75.6663      1.15350
      258.000      4.32882     0.154066     0.665085   0.00860933     -75.9737     0.586600
      259.000      3.46206     0.157978     0.644378   0.00781361     -75.4996     0.540178
      260.000      2.95848     0.152387     0.626349    0.0166704     -75.4520      1.17476
      261.000      2.57766     0.163883     0.626349    0.0426920     -74.4306      3.02583
      262.000      2.72350     0.153001     0.626349    0.0212528     -75.8369      1.49392
      263.000      2.83814     0.155565     0.626349    0.0152601     -72.0646      1.08390
      264.000      2.72072     0.152670     0.634373    0.0137830     -74.6440     0.969602
      265.000      2.80841     0.153862     0.627700    0.0363367     -74.6668      2.56861
      266.000      3.08227     0.152762     0.652748    0.0100432     -75.4657     0.697358
      267.000      3.11441     0.148137     0.652748    0.0192907     -75.2840      1.33783
      268.000      2.23498     0.146633     0.613879    0.0283773     -74.3955      2.03091
      269.000      2.71984     0.149258     0.651979    0.0159259     -75.2651      1.10829
      270.000      2.72819     0.147808     0.647987    0.0108411     -74.0852     0.761789
      271.000      2.95758     0.157094     0.659407    0.0133350     -75.4520     0.924647
      272.000      2.46645     0.149031     0.619623    0.0181770     -74.8272      1.30333
      273.000      2.07199     0.141650     0.619253    0.0222091     -73.6895      1.58598
      274.000      2.39978     0.144637     0.611867   0.00984072     -77.2241     0.713640
      275.000      2.73302     0.148619     0.650086    0.0197797     -76.2146      1.39915
      276.000      2.26021     0.145326     0.626462    0.0217258     -74.1271      1.56165
      277.000      2.59319     0.152068     0.652713    0.0134865     -75.5835     0.956947
      278.000      2.47768     0.140791     0.620574    0.0151108     -77.9271      1.09561
      279.000      2.10676     0.139094     0.615339    0.0162810     -77.9343      1.18165
      280.000      2.09362     0.152094     0.633846    0.0149056     -73.5744      1.07098
      281.000      1.84714     0.142862     0.619957    0.0325443     -75.5864      2.35076
      282.000      1.92775     0.144465     0.622896    0.0243163     -75.6192      1.75594
      283.000      2.31074     0.140804     0.653258    0.0181093     -76.1300      1.29057
      284.000      2.04886     0.146394     0.633980    0.0206012     -76.7583      1.48819
      285.000      1.91927     0.144672     0.619514    0.0260728     -74.1340      1.89823
      286.000      2.56164     0.144792     0.649497    0.0130074     -77.9734     0.928606
      287.000      2.08348     0.136364     0.627985    0.0146930     -78.5147      1.05514
      288.000      2.51572     0.139797     0.650623    0.0156309     -77.5138      1.11746
      289.000      1.92536     0.146114     0.637186    0.0241402     -78.3332      1.73365
      290.000      2.14171     0.142731     0.645703    0.0106789     -76.1378     0.769016
      291.000      2.02606     0.135635     0.632502    0.0129470     -77.1795     0.929484
      292.000      1.63090     0.145023     0.639813    0.0315511     -74.8986      2.25300
      293.000      1.96633     0.135935     0.653296    0.0210993     -76.6007      1.51732
      294.000      2.05911     0.143041     0.647050    0.0210579     -74.8316      1.49612
      295.000      1.68838     0.135540     0.635924    0.0228178     -80.3262      1.66222
      296.000      1.70789     0.141402     0.627200    0.0160766     -76.7063      1.15485
      297.000      2.07781     0.148543     0.655546    0.0136332     -74.8894     0.965371
      298.000      1.52664     0.138832     0.626579    0.0175431     -77.1747      1.27022
      299.000      1.44252     0.136229     0.629004    0.0181444     -77.3784      1.30980
      300.000      1.39676     0.139405     0.629004    0.0202206     -77.6476      1.46509
      301.000      1.48039     0.134441     0.624795    0.0344653     -79.4198      2.55309
      302.000      1.05080     0.139684     0.612668    0.0315258     -74.3701      2.26782
      303.000      1.77536     0.137037     0.646416    0.0179248     -79.9508      1.30237
      304.000      1.54488     0.135805     0.646416    0.0194782     -78.4768      1.40755
      305.000      1.77747     0.138902     0.646416    0.0212497     -76.6804      1.50418
      306.000      1.67418     0.137874     0.646416    0.0178834     -78.3808      1.28201
      307.000      1.45550     0.135989     0.630124    0.0181508     -75.0641      1.29654
      308.000      1.15069     0.142901     0.630124    0.0267571     -76.1592      1.92751
      309.000      1.56336     0.137933     0.650000    0.0498000     -77.0195      3.53517
      310.000      1.67060     0.146995     0.650000  1.60000e+38     -74.0000  1.60000e+38
      311.000      1.64926     0.140393     0.650000  1.60000e+38     -74.0000  1.60000e+38
